diagnosis,count,teşhis,description,department
autism,310,otizm,"Gelişimsel bir bozukluktur. Genellikle sosyal etkileşim, iletişim ve davranışlarda zorluklarla karakterize edilir.",psikiyatri
diabetic peripheral neuropathy,309,diyabet nöropai,"Diabet hastalarında sinirlerin hasar görmesi sonucu ortaya çıkan, genellikle ayaklarda uyuşma, yanma ve ağrı gibi belirtilerle kendini gösteren bir durumdur.",nöroloji
dermatitis due to sun exposure,308,dermatit,"Güneş ışığına maruz kalma sonucu ciltte meydana gelen iltihaplanmadır. Genellikle kızarıklık, kaşıntı ve kabarcıklarla karakterize olan bir durumdur.",dermatoloji
choledocholithiasis,308,safra kesesi taşı,"Safra kesesinde taş oluşumu durumudur. Genellikle karın ağrısı, bulantı ve sarılık gibi belirtilerle kendini gösterebilir.",gastroenteroloji
urethritis,307,üretrit,"Üretranın iltihaplanmasıdır. Genellikle idrar yaparken yanma, ağrı ve sık idrara çıkma gibi belirtilerle kendini gösterebilir.",üroloji
bladder disorder,307,mesane hastalığı,"Mesanenin normalden farklı çalışması durumudur. Genellikle idrar yapmada zorluk, sık idrara çıkma ve ağrı gibi belirtilerle kendini gösterebilir.",üroloji
gastroesophageal reflux disease (gerd),306,gastroözofageal reflü hastalığı,"Mide asidinin yemek borusuna geri kaçması sonucu ortaya çıkan, genellikle mide yanması, göğüs ağrısı ve yutma zorluğu gibi belirtilerle kendini gösteren bir durumdur.",gastroenteroloji
spondylitis,306,spondilit,"Omurganın iltihaplanmasıdır. Genellikle bel ve sırt ağrısı, sertlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",romatoloji
envenomation from spider or animal bite,305,örümcek veya hayvan ısırığı,"Örümcek veya diğer hayvanların ısırması sonucu meydana gelen zehirlenmelerdir. Genellikle ağrı, şişlik ve kızarıklık gibi belirtilerle kendini gösterebilir.",acil tıp
oppositional disorder,304,karşıt olma bozukluğu,"Çocuklarda otorite figürlerine karşı aşırı itaatsizlik ve başkaldırı ile karakterize olan bir durumdur. Genellikle davranış sorunları, öfke patlamaları ve sosyal sorunlarla kendini gösterebilir.",psikiyatri
ileus,303,ileus,"Bağırsakların normalden farklı çalışması sonucu ortaya çıkan, genellikle karın ağrısı, şişkinlik ve kusma gibi belirtilerle kendini gösteren bir durumdur.",gastroenteroloji
aortic valve disease,301,aort kapak hastalığı,"Kalp kapaklarının normalden farklı çalışması durumudur. Genellikle nefes darlığı, çarpıntı ve göğüs ağrısı gibi belirtilerle kendini gösterebilir.",kardiyoloji
hypovolemia,298,hipovolemi,"Vücutta sıvı kaybı sonucu meydana gelen, genellikle baş dönmesi, halsizlik ve düşük tansiyon gibi belirtilerle kendini gösterebilir.",dahiliye
thrombophlebitis,295,tromboz,"Kan damarlarının iltihaplanması ve pıhtı oluşumu durumudur. Genellikle bacaklarda ağrı, şişlik ve kızarıklık gibi belirtilerle kendini gösterebilir.",dahiliye
fracture of the arm,294,kol kırığı,"Kol kemiklerinde meydana gelen kırık veya çatlaklardır. Genellikle travma, düşme veya darbe sonucu ortaya çıkar ve ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
pelvic organ prolapse,294,pelvik organ prolapsusu,"Pelvik organların normalden daha aşağıda olması durumudur. Genellikle idrar kaçırma, vajinal basınç hissi ve ağrı gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
food allergy,294,gıda alerjisi,"Gıdaların bağışıklık sistemi tarafından aşırı tepki göstermesi sonucu ortaya çıkan, genellikle kaşıntı, döküntü ve sindirim sorunları gibi belirtilerle kendini gösterebilir.",dahiliye
joint effusion,291,eklem sıvısı,"Eklem boşluğunda sıvı birikmesi durumudur. Genellikle ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",romatoloji
inguinal hernia,285,kasık fıtığı,"Kasık bölgesinde meydana gelen, genellikle ağrı, şişlik ve rahatsızlık hissi ile karakterize olan bir durumdur.",genel cerrahi
endometriosis,282,endometriozis,"Rahim iç tabakasının normalden farklı yerlerde büyümesi durumudur. Genellikle adet düzensizlikleri, ağrı ve kısırlık gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
pain disorder affecting the neck,281,boyun ağrısı,"Boyun bölgesinde meydana gelen ağrılardır. Genellikle kas gerginliği, yaralanmalar veya duruş bozuklukları sonucu ortaya çıkar ve baş ağrısı, boyun sertliği gibi belirtilerle kendini gösterebilir.",nöroloji
cervicitis,280,servisit,"Serviksin iltihaplanmasıdır. Genellikle vajinal akıntı, ağrı ve cinsel ilişki sırasında rahatsızlık gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
shingles (herpes zoster),278,zona,"Su çiçeği virüsünün yeniden aktive olması sonucu ortaya çıkan, genellikle ciltte döküntü, ağrı ve kaşıntı ile karakterize olan bir durumdur.",dermatoloji
paronychia,276,paronişi,"Tırnak çevresindeki dokuların iltihaplanmasıdır. Genellikle ağrı, şişlik ve kızarıklık gibi belirtilerle kendini gösterebilir.",dermatoloji
peritonitis,274,peritonit,"Karın zarının iltihaplanmasıdır. Genellikle karın ağrısı, ateş ve bulantı gibi belirtilerle kendini gösterebilir.",genel cerrahi
missed abortion,272,düşük,"Hamilelik sırasında fetüsün kaybı durumudur. Genellikle kanama, karın ağrısı ve gebelik belirtilerinin kaybolması gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
osteoporosis,271,osteoporoz,"Kemiklerin zayıflaması ve kırılgan hale gelmesi durumudur. Genellikle yaşlanma, hormonal değişiklikler ve beslenme eksiklikleri ile ilişkilidir ve sıklıkla kır
crohn disease,267,crohn hastalığı,"Bağırsakların iltihaplanması sonucu ortaya çıkan, genellikle karın ağrısı, ishal ve kilo kaybı gibi belirtilerle kendini gösteren bir durumdur.",gastroenteroloji
nasal polyp,267,nazal polip,"Burun içindeki dokuların anormal büyümesi durumudur. Genellikle burun tıkanıklığı, akıntı ve koku kaybı gibi belirtilerle kendini gösterebilir.",kulak burun boğaz
ectopic pregnancy,264,dış gebelik,"Fetüsün rahim dışında, genellikle fallop tüplerinde gelişmesi durumudur. Genellikle karın ağrısı, kanama ve bulantı gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
hepatitis due to a toxin,261,hepatit,"Karaciğerin iltihaplanmasıdır. Genellikle virüsler, toksinler veya alkol gibi nedenlerle ortaya çıkar ve sarılık, karın ağrısı ve yorgunluk gibi belirtilerle kendini gösterebilir.",dahiliye
paroxysmal supraventricular tachycardia,260,paroksismal supraventriküler taşikardi,"Kalpteki elektriksel aktivitenin anormal artışı sonucu ortaya çıkan, genellikle çarpıntı, baş dönmesi ve göğüs ağrısı gibi belirtilerle kendini gösterebilir.",kardiyoloji
abdominal hernia,259,karın fıtığı,"Karın duvarındaki zayıf noktalardan iç organların dışarı çıkması durumudur. Genellikle ağrı, şişlik ve rahatsızlık hissi ile karakterize olan bir durumdur.",genel cerrahi
athlete's foot,259,ayak mantarı,"Ayak parmakları arasında meydana gelen mantar enfeksiyonudur. Genellikle kaşıntı, kızarıklık ve soyulma gibi belirtilerle kendini gösterebilir.",dermatoloji
temporomandibular joint disorder,255,temporomandibular eklem bozukluğu,"Çiğneme kaslarının ve eklemin normalden farklı çalışması durumudur. Genellikle çene ağrısı, baş ağrısı ve çiğneme zorluğu gibi belirtilerle kendini gösterebilir.",ağız diş çene cerrahisi
intestinal disease,254,bağırsak hastalığı,"Bağırsakların normalden farklı çalışması durumudur. Genellikle karın ağrısı, ishal ve kilo kaybı gibi belirtilerle kendini gösterebilir.",gastroenteroloji
abscess of the pharynx,252,farinks apsesi,"Boğaz bölgesinde meydana gelen iltihaplı kitlelerdir. Genellikle ağrı, yutma zorluğu ve ateş gibi belirtilerle kendini gösterebilir.",kulak burun boğaz
anemia,252,anemi,"Kanda yeterli miktarda kırmızı kan hücresinin olmaması durumudur. Genellikle yorgunluk, soluk cilt ve nefes darlığı gibi belirtilerle kendini gösterebilir.",dahiliye
trichomonas infection,252,trikomonas enfeksiyonu,"Trikomonas vaginalis adlı parazitin neden olduğu, genellikle vajinal akıntı, kaşıntı ve yanma gibi belirtilerle kendini gösteren bir enfeksiyondur.",kadın hastalıkları ve doğum
tietze syndrome,250,tietze sendromu,"Göğüs kafesindeki kıkırdakların iltihaplanmasıdır. Genellikle göğüs ağrısı, hassasiyet ve şişlik gibi belirtilerle kendini gösterebilir.",göğüs hastalıkları
ulcerative colitis,250,ülseratif kolit,"Bağırsakların iltihaplanması sonucu ortaya çıkan, genellikle karın ağrısı, ishal ve kanlı dışkı gibi belirtilerle kendini gösteren bir durumdur.",gastroenteroloji
venous insufficiency,249,venöz yetmezlik,"Venöz damarların normalden farklı çalışması durumudur. Genellikle bacaklarda şişlik, ağrı ve varis gibi belirtilerle kendini gösterebilir.",dahiliye
jaw disorder,246,çene hastalığı,"Çene eklemi ve çevresindeki kasların normalden farklı çalışması durumudur. Genellikle çene ağrısı, baş ağrısı ve çiğneme zorluğu gibi belirtilerle kendini gösterebilir.",ağız diş çene cerrahisi
colonic polyp,246,kolon polip,"Bağırsak duvarında meydana gelen, genellikle iyi huylu tümörlerdir. Genellikle belirti vermezler ancak bazı durumlarda kanama ve karın ağrısı gibi belirtilerle kendini gösterebilir.",gastroenteroloji
scleroderma,245,skleroderma,"Bağ dokusunun kalınlaşması ve sertleşmesi ile karakterize olan bir hastalıktır. Genellikle ciltte kalınlaşma, ağrı ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",romatoloji
dementia,245,demans,"Bilişsel işlevlerin bozulması ile karakterize olan bir durumdur. Genellikle hafıza kaybı, düşünme zorluğu ve kişilik değişiklikleri gibi belirtilerle kendini gösterebilir.",nöroloji
lateral epicondylitis (tennis elbow),244,lateral epikondilit,"Dirseğin dış tarafında meydana gelen iltihaplanmadır. Genellikle ağrı, hassasiyet ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
tonsillar hypertrophy,241,tonsillerin büyümesi,"Bademciklerin normalden daha büyük olması durumudur. Genellikle yutma zorluğu, horlama ve boğaz ağrısı gibi belirtilerle kendini gösterebilir.",kulak burun boğaz
atrophic vaginitis,240,atrofik vajinit,"Vajinal dokuların incelmesi ve kuruması durumudur. Genellikle menopoz sonrası kadınlarda görülür ve kaşıntı, yanma ve cinsel ilişki sırasında ağrı gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
sarcoidosis,239,sarkoidoz,"Bağ dokusunun iltihaplanması ile karakterize olan bir hastalıktır. Genellikle akciğerlerde, ciltte ve lenf bezlerinde meydana gelir ve yorgunluk, ateş ve kilo kaybı gibi belirtilerle kendini gösterebilir.",dahiliye
cardiac arrest,239,kalp durması,"Kalbin normalden farklı çalışması sonucu meydana gelen, genellikle nefes darlığı, göğüs ağrısı ve bayılma gibi belirtilerle kendini gösterebilir.",kardiyoloji
vitreous degeneration,234,vitreus dejenerasyonu,"Gözün arka kısmındaki vitreus sıvısının normalden farklı çalışması durumudur. Genellikle görme kaybı, ışık parlamaları ve gözde yüzen lekeler gibi belirtilerle kendini gösterebilir.",göz hastalıkları
cranial nerve palsy,234,kranial sinir felci,"Kafatasındaki sinirlerin hasar görmesi sonucu ortaya çıkan, genellikle yüz felci, görme kaybı ve denge sorunları gibi belirtilerle kendini gösterebilir.",nöroloji
hydronephrosis,231,hidronefroz,"Böbreklerin normalden daha fazla sıvı birikmesi durumudur. Genellikle ağrı, bulantı ve idrar yapmada zorluk gibi belirtilerle kendini gösterebilir.",üroloji
alopecia,228,alopesi,"Saç dökülmesi durumudur. Genellikle genetik faktörler, hormonal değişiklikler veya stres gibi nedenlerle ortaya çıkar ve saçların incelmesi veya tamamen dökülmesi ile karakterize edilir.",dermatoloji
head and neck cancer,228, boyun ve boş kanseri,"Baş-boyun bölgesinde gelişebilen birden fazla kanseri kapsayan genel bir terimdir. Bunlara ağız, dil, diş eti ve dudak, ses kutusu, boğaz, tükürük bezleri, burun ve sinüs kanserleri dahildir. Baş ve boyun kanseri, kanserin nerede geliştiğine bağlı olarak çok çeşitli semptomlar gösterebilir.", kulak burun boğaz
alcohol intoxication,228,alkol zehirlenmesi,"Alkolün aşırı miktarda alınması sonucu meydana gelen, genellikle baş dönmesi, bulantı ve bilinç kaybı gibi belirtilerle kendini gösterebilir.",acil tıp
urethral disorder,226,üretral hastalık,"Üretranın normalden farklı çalışması durumudur. Genellikle idrar yapmada zorluk, ağrı ve sık idrara çıkma gibi belirtilerle kendini gösterebilir.",üroloji
alzheimer disease,225,alzheimer hastalığı,"Bilişsel işlevlerin bozulması ile karakterize olan bir durumdur. Genellikle hafıza kaybı, düşünme zorluğu ve kişilik değişiklikleri gibi belirtilerle kendini gösterebilir.",nöroloji
asperger syndrome,225,asperger sendromu,"Gelişimsel bir bozukluktur. Genellikle sosyal etkileşim, iletişim ve davranışlarda zorluklarla karakterize edilir.",psikiyatri
pilonidal cyst,224,pilonidal kist,"Kıl köklerinin iltihaplanması sonucu meydana gelen, genellikle ağrı, şişlik ve kızarıklık gibi belirtilerle kendini gösterebilir.",genel cerrahi
premature ventricular contractions (pvcs),224,prematür ventriküler kasılma,"Kalpteki elektriksel aktivitenin anormal artışı sonucu ortaya çıkan, genellikle çarpıntı, baş dönmesi ve göğüs ağrısı gibi belirtilerle kendini gösterebilir.",kardiyoloji
chronic pancreatitis,224,kronik pankreatit,"Pankreasın iltihaplanması sonucu ortaya çıkan, genellikle karın ağrısı, bulantı ve kilo kaybı gibi belirtilerle kendini gösterebilir.",gastroenteroloji
mononucleosis,223,mononükleoz,"Viral enfeksiyon sonucu ortaya çıkan, genellikle boğaz ağrısı, ateş ve lenf bezlerinde şişlik gibi belirtilerle kendini gösterebilir.",dahiliye
bladder obstruction,220,mesane tıkanıklığı,"Mesanenin normalden farklı çalışması sonucu ortaya çıkan, genellikle idrar yapmada zorluk, ağrı ve sık idrara çıkma gibi belirtilerle kendini gösterebilir.",üroloji
cardiomyopathy,219,kardiyomiyopati,"Kalp kasının normalden farklı çalışması durumudur. Genellikle nefes darlığı, çarpıntı ve göğüs ağrısı gibi belirtilerle kendini gösterebilir.",kardiyoloji
impulse control disorder,219,dürtü kontrol bozukluğu,"Dürtülerin kontrol edilememesi ile karakterize olan bir durumdur. Genellikle aşırı yeme, alkol veya madde kullanımı gibi davranışlarla kendini gösterebilir.",psikiyatri
pneumothorax,217,pnömotoraks,"Akciğerlerin normalden farklı çalışması sonucu meydana gelen, genellikle nefes darlığı, göğüs ağrısı ve öksürük gibi belirtilerle kendini gösterebilir.",göğüs hastalıkları
astigmatism,217,astigmatizma,"Gözdeki kornea veya lensin normalden farklı şekil alması sonucu ortaya çıkan, genellikle bulanık görme, baş ağrısı ve göz yorgunluğu gibi belirtilerle kendini gösterebilir.",göz hastalıkları
drug abuse (methamphetamine),217,metamfetamin bağımlılığı,"Metamfetaminin aşırı miktarda alınması sonucu meydana gelen, genellikle baş dönmesi, bulantı ve bilinç kaybı gibi belirtilerle kendini gösterebilir.",psikiyatri
intracranial hemorrhage,217,intrakranyal kanama,"Kafatası içindeki kan damarlarının hasar görmesi sonucu meydana gelen, genellikle baş ağrısı, bulantı ve bilinç kaybı gibi belirtilerle kendini gösterebilir.",nöroloji
vasculitis,216,vaskülit,"Kan damarlarının iltihaplanması ile karakterize olan bir hastalıktır. Genellikle ciltte döküntü, ateş ve eklem ağrıları gibi belirtilerle kendini gösterebilir.",dahiliye
cirrhosis,213,siroz,"Karaciğerin normalden farklı çalışması sonucu meydana gelen, genellikle yorgunluk, sarılık ve karın ağrısı gibi belirtilerle kendini gösterebilir.",dahiliye
retinal detachment,213,retina dekolmanı,"Gözün arka kısmındaki retina tabakasının normalden farklı çalışması sonucu meydana gelen, genellikle görme kaybı, ışık parlamaları ve gözde yüzen lekeler gibi belirtilerle kendini gösterebilir.",göz hastalıkları
tension headache,209,gerilim tipi baş ağrısı,"Başın her iki tarafında hissedilen, genellikle stres, yorgunluk veya kas gerginliği ile ilişkilendirilen bir baş ağrısı türüdür.",nöroloji
meningitis,206,menenjit,"Beyin ve omuriliği saran zarların iltihaplanmasıdır. Genellikle ateş, baş ağrısı ve boyun sertliği gibi belirtilerle kendini gösterebilir.",nöroloji
foreign body in the eye,205,gözde yabancı cisim,"Gözde bulunan yabancı cisimlerin neden olduğu, genellikle ağrı, kızarıklık ve sulanma gibi belirtilerle kendini gösterebilir.",göz hastalıkları
drug abuse (cocaine),205,kokain bağımlılığı,"Kokainin aşırı mikt
fluid overload,204,sıvı fazlalığı,"Vücutta aşırı sıvı birikmesi durumudur. Genellikle şişlik, nefes darlığı ve yüksek tansiyon gibi belirtilerle kendini gösterebilir.",dahiliye
restless leg syndrome,204,hareketli bacak sendromu,"Bacaklarda huzursuzluk hissi ile karakterize olan bir durumdur. Genellikle gece saatlerinde ortaya çıkar ve bacakları hareket
kidney failure,203,böbrek yetmezliği,"Böbreklerin normalden farklı çalışması sonucu meydana gelen, genellikle yorgunluk, şişlik ve idrar yapmada zorluk gibi belirtilerle kendini gösterebilir.",üroloji
ischemia of the bowel,200,bağırsak iskemi,"Bağırsakların yeterli kan akışının olmaması durumudur. Genellikle karın ağrısı, bulantı ve kusma gibi belirtilerle kendini gösterebilir.",gastroenteroloji
nerve impingement near the shoulder,200,omuzda sinir sıkışması,"Omuz bölgesindeki sinirlerin sıkışması sonucu meydana gelen, genellikle ağrı, uyuşma ve güçsüzlük gibi belirtilerle kendini gösterebilir.",nöroloji
mucositis,200,mukozit,"Mukoza zarlarının iltihaplanmasıdır. Genellikle ağız, burun ve sindirim sisteminde meydana gelir ve ağrı, yanma ve şişlik gibi belirtilerle kendini gösterebilir.",dahiliye
urethral stricture,200,üretral darlık,"Üretranın normalden daha dar olması durumudur. Genellikle idrar yapmada zorluk, ağrı ve sık idrara çıkma gibi belirtilerle kendini gösterebilir.",üroloji
meniere disease,197,menier hastalığı,"İç kulakta sıvı birikmesi sonucu ortaya çıkan, genellikle baş dönmesi, kulak çınlaması ve işitme kaybı gibi belirtilerle kendini gösterebilir.",kulak burun boğaz
induced abortion,197,kürtaj,"Hamileliğin sonlandırılmasıdır. Genellikle kanama, karın ağrısı ve gebelik belirtilerinin kaybolması gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
bone disorder,194,kemik hastalığı,"Kemiklerin normalden farklı çalışması durumudur. Genellikle ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
abscess of nose,193,burun apsesi,"Burun bölgesinde meydana gelen iltihaplı kitlelerdir. Genellikle ağrı, şişlik ve kızarıklık gibi belirtilerle kendini gösterebilir.",kulak burun boğaz
polycystic ovarian syndrome (pcos),189,polikistik over sendromu,"Kadınlarda yumurtalıkların normalden farklı çalışması durumudur. Genellikle adet düzensizlikleri, kilo alımı ve tüylenme gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
heat exhaustion,187,sıcak çarpması,"Aşırı sıcak havalarda meydana gelen, genellikle baş dönmesi, bulantı ve terleme gibi belirtilerle kendini gösterebilir.",acil tıp
scar,183,yara izi,"Yaralanma sonrası ciltte meydana gelen izlerdir. Genellikle yara iyileştikten sonra oluşur ve görünüm açısından rahatsızlık verebilir.",dermatoloji
stress incontinence,182,stres inkontinansı,"Stres veya fiziksel aktivite sırasında idrar kaçırma durumudur. Genellikle öksürme, hapşırma veya egzersiz sırasında ortaya çıkar.",üroloji
orthostatic hypotension,182,ortostatik hipotansiyon,"Duruş değişikliği sonucu kan basıncının düşmesi durumudur. Genellikle baş dönmesi, bayılma ve yorgunluk gibi belirtilerle kendini gösterebilir.",dahiliye
melanoma,179,melanom,"Ciltte meydana gelen, genellikle koyu renkli ve düzensiz kenarlı lekelerdir. Genellikle güneş ışığına maruz kalma ile ilişkilidir ve cilt kanserinin en tehlikeli türüdür.",dermatoloji
peritonsillar abscess,178,peritonsiller apse,"Bademciklerin çevresinde meydana gelen iltihaplı kitlelerdir. Genellikle ağrı, yutma zorluğu ve ateş gibi belirtilerle kendini gösterebilir.",kulak burun boğaz
tinnitus of unknown cause,177,tinnitus,"Kulak çınlamasıdır. Genellikle kulak zarının hasar görmesi, iç kulak problemleri veya stres gibi nedenlerle ortaya çıkar ve sürekli veya geçici olabilir.",kulak burun boğaz
aphthous ulcer,175,aft, "Ağız içinde meydana gelen yaralardır. Genellikle ağrı, yanma ve yutma zorluğu gibi belirtilerle kendini gösterebilir.",ağız diş çene cerrahisi
genital herpes,174,genital herpes,"Genital bölgede meydana gelen, genellikle kaşıntı, yanma ve ağrı ile karakterize olan bir enfeksiyondur. Genellikle cinsel yolla bulaşır.",dermatoloji
drug withdrawal,173,ilaç yoksunluğu,"İlaçların aniden kesilmesi sonucu ortaya çıkan, genellikle baş ağrısı, bulantı ve huzursuzluk gibi belirtilerle kendini gösterebilir.",psikiyatri
torticollis,173,tortikolis,"Boyun kaslarının anormal gerginliği ile karakterize olan bir durumdur. Genellikle başın bir tarafa eğilmesi ve ağrı ile kendini gösterebilir.",nöroloji
brain cancer,172,beyin kanseri,"Beyin dokusunda meydana gelen, genellikle baş ağrısı, bulantı ve nörolojik belirtilerle kendini gösterebilir.",nöroloji
fracture of the vertebra,172,omurga kırığı,"Omurganın normalden farklı çalışması sonucu meydana gelen, genellikle sırt ağrısı, hareket kısıtlılığı ve sinir belirtil
arrhythmia,171,aritmi,"Kalpteki elektriksel aktivitenin anormal çalışması durumudur. Genellikle çarpıntı, baş dönmesi ve göğüs ağrısı gibi belirtilerle kendini gösterebilir.",kardiyoloji
subconjunctival hemorrhage,170,subkonjonktival kanama,"Gözün beyaz kısmındaki kan damarlarının hasar görmesi sonucu meydana gelen, genellikle ağrı, kızarıklık ve görme kaybı gibi belirtilerle kendini gösterebilir.",göz hastalıkları
alcoholic liver disease,170,alkolik karaciğer hastalığı,"Alkolün aşırı miktarda alınması sonucu meydana gelen, genellikle yorgunluk, sarılık ve karın ağrısı gibi belirtilerle kendini gösterebilir.",dahiliye
presbyopia,169,presbiyopi,"Yaşlanma ile birlikte gözde meydana gelen, genellikle yakın görme zorluğu ile karakterize olan bir durumdur.",göz hastalıkları
atrial flutter,168,atriyal flutter,"Kalpteki elektriksel aktivitenin anormal çalışması durumudur. Genellikle çarpıntı, baş dönmesi ve göğüs ağrısı gibi belirtilerle kendini gösterebilir.",kardiyoloji
graves disease,166,graves hastalığı,"Tiroid bezinin aşırı çalışması ile karakterize olan bir durumdur. Genellikle kilo kaybı, çarpıntı ve terleme gibi belirtilerle kendini gösterebilir.",endokrinoloji
deep vein thrombosis (dvt),165,derin ven trombozu,"Bacaklardaki derin venlerde kan pıhtısı oluşması durumudur. Genellikle bacaklarda şişlik, ağrı ve kızarıklık gibi belirtilerle kendini gösterebilir.",dahiliye
sickle cell anemia,163,orak hücre anemisi,"Kırmızı kan hücrelerinin normalden farklı şekil alması ile karakterize olan bir durumdur. Genellikle ağrı, yorgunluk ve enfeksiyonlara yatkınlık gibi belirtilerle kendini gösterebilir.",dahiliye
hydrocele of the testicle,162,hidrosel,"Testislerin normalden daha fazla sıvı birikmesi durumudur. Genellikle ağrı, şişlik ve rahatsızlık hissi ile karakterize olan bir durumdur.",üroloji
pterygium,160,pterjiyum,"Gözün beyaz kısmındaki dokunun anormal büyümesi ile karakterize olan bir durumdur. Genellikle gözde kızarıklık, sulanma ve görme kaybı gibi belirtilerle kendini gösterebilir.",göz hastalıkları
preeclampsia,159,preeklampsi,"Hamilelik sırasında ortaya çıkan, genellikle yüksek tansiyon, ödem ve proteinüri ile karakterize olan bir durumdur.",kadın hastalıkları ve doğum
substance-related mental disorder,159,madde ile ilişkili zihinsel bozukluk,"Madde kullanımının neden olduğu, genellikle ruh hali değişiklikleri, düşünce bozuklukları ve davranış değişiklikleri ile kendini gösterebilir.",psikiyatri
plantar fasciitis,153,plantar fasiit,"Ayak tabanındaki bağ dokusunun iltihaplanmasıdır. Genellikle topuk ağrısı, ayakta rahatsızlık ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
thyroid nodule,150,tiroid nodülü,"Tiroid bezinde meydana gelen, genellikle iyi huylu tümörlerdir. Genellikle belirti vermezler ancak bazı durumlarda boyunda şişlik ve yutma zorluğu gibi belirtilerle kendini gösterebilir.",endokrinoloji
acute glaucoma,150,akut glokom,"Gözdeki sıvı basıncının aniden artması ile karakterize olan bir durumdur. Genellikle baş ağrısı, gözde ağrı ve görme kaybı gibi belirtilerle kendini gösterebilir.",göz hastalıkları
migraine,149,migren,"Başın bir tarafında meydana gelen, genellikle bulantı, kusma ve ışığa hassasiyet ile karakterize olan bir baş ağrısı türüdür.",nöroloji
premature atrial contractions (pacs),149,prematür atriyal kasılma,"Kalpteki elektriksel aktivitenin anormal çalışması durumudur. Genellikle çarpıntı, baş dönmesi ve göğüs ağrısı gibi belirtilerle kendini gösterebilir.",kardiyoloji
uterine atony,149,uterin atoni,"Rahmin normalden farklı çalışması durumudur. Genellikle doğum sonrası kanama, ağrı ve rahim kasılmalarında zorluk gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
trigeminal neuralgia,148,trigeminal nevralji,"Yüzdeki trigeminal sinirin anormal çalışması ile karakterize olan bir durumdur. Genellikle yüz ağrısı, yanma ve elektrik çarpması hissi gibi belirtilerle kendini gösterebilir.",nöroloji
overflow incontinence,148,taşma tipi inkontinans,"Mesanenin normalden fazla dolması sonucu ortaya çıkan, genellikle idrar kaçırma, sık idrara çıkma ve idrar yapmada zorluk gibi belirtilerle kendini gösterebilir.",üroloji
benign kidney cyst,148,iyi huylu böbrek kisti,"Böbreklerde meydana gelen, genellikle iyi huylu tümörlerdir. Genellikle belirti vermezler ancak bazı durumlarda ağrı ve idrar yapmada zorluk gibi belirtilerle kendini gösterebilir.",üroloji
pancreatic cancer,145,pankreas kanseri,"Pankreas dokusunda meydana gelen, genellikle karın ağrısı, kilo kaybı ve sindirim sorunları gibi belirtilerle kendini gösterebilir.",gastroenteroloji
female genitalia infection,144,kadın genital bölgesi enfeksiyonu,"Kadın genital bölgesinde meydana gelen enfeksiyonlardır. Genellikle kaşıntı, yanma ve akıntı gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
orbital cellulitis,143,orbital selülit,"Göz çevresindeki dokuların iltihaplanmasıdır. Genellikle gözde kızarıklık, şişlik ve ağrı gibi belirtilerle kendini gösterebilir.",göz hastalıkları
cold sore,143,soğuk yara,"Dudaklarda meydana gelen, genellikle kaşıntı, yanma ve kabarcıklarla karakterize olan bir enfeksiyondur. Genellikle herpes virüsü ile ilişkilidir.",dermatoloji
primary insomnia,142,birincil uykusuzluk,"Uykusuzluk durumudur. Genellikle stres, anksiyete veya depresyon gibi nedenlerle ortaya çıkar ve uykuya dalmada zorluk, sık uyanma ve yorgunluk gibi belirtilerle kendini gösterebilir.",psikiyatri
poisoning due to gas,141, gaz zehirlenmesi,"Gazların aşırı miktarda alınması sonucu meydana gelen, genellikle baş dönmesi, bulantı ve bilinç kaybı gibi belirtilerle kendini gösterebilir.",acil tıp
drug poisoning due to medication,139,ilaç zehirlenmesi,"İlaçların aşırı miktarda alınması sonucu meydana gelen, genellikle baş dönmesi, bulantı ve bilinç kaybı gibi belirtilerle kendini gösterebilir.",acil tıp
anal fissure,138,anal yırtık,"Anüs bölgesinde meydana gelen yaralardır. Genellikle ağrı, kanama ve dışkılama sırasında zorluk gibi belirtilerle kendini gösterebilir.",genel cerrahi
persistent vomiting of unknown cause,137,persistan kusma,"Sebebi bilinmeyen sürekli kusma durumudur. Genellikle bulantı, karın ağrısı ve dehidrasyon gibi belirtilerle kendini gösterebilir.",gastroenteroloji
